Bulan,Course,Category,Jumlah Partisipan,Kecepatan pelayanan,Kemudahan fungsi fungsi untuk digunakan,Kemudahan nama situs untuk diingat,Kemudahan situs untuk dipahami,Kemudahan untuk dihubungi,Kemudahan untuk dipahami,Kenyamanan dalam mempelajari materi,Keramahan petugas,Manfaat terhadap tugas,Pengetahuan terhadap situs,Sistematika Penulisan,Tampilan situs,Final Score
1,Fraud Klaim Asuransi,ADMEDIKA,1,100.00,100.00,0,100.00,100.00,70.00,100.00,100.00,100.00,100.00,100.00,100.00,89.17
1,Basic Procurement,Business Enabler / Enterprise Management (EL-EEM),1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100
1,Paradigma Spiritual,Business Enabler / Enterprise Management (EL-EEM),4,91.25,91.25,91.25,91.25,91.25,91.25,90.67,91.25,91.25,91.25,91.25,91.25,91.2
1,PMBOK,Business Enabler / Enterprise Management (EL-EEM),10,88.11,87.43,89.47,88.11,89.47,88.11,86.67,88.95,91.50,89.47,87.78,88.33,88.62
1,Spiritual (Islam) Bekerja Ma allah,Business Enabler / Enterprise Management (EL-EEM),2,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,Company Profile PT Dayamitra Telekomunikasi,CLASSICAL SUPPORT,1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,Product Knowledge PT Dayamitra Telekomunikasi,CLASSICAL SUPPORT,2,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,9 Core Element of Marketing,Commerce & Relations (EL-COR),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,Competitor & Competitive Intellegence (APC),Commerce & Relations (EL-COR),3,95.56,93.85,93.85,93.85,93.85,93.85,93.85,97.14,97.14,93.85,93.85,93.85,94.54
1,Competitor Intelligence - TCIMF,Commerce & Relations (EL-COR),6,87.27,86.67,87.27,86.67,85.71,85.00,87.00,87.27,87.27,85.71,89.57,86.67,86.84
1,Competitor Intelligence (Bilingual),Commerce & Relations (EL-COR),11,86.15,82.42,85.79,85.26,85.26,82.42,83.12,85.26,83.89,86.15,82.42,85.41,84.46
1,Consultative Selling,Commerce & Relations (EL-COR),8,93.53,95.56,92.73,94.29,94.29,96.76,94.29,94.29,95.56,96.76,93.53,94.29,94.66
1,CX Transformation Program Behavior Skill Sales Agent,Commerce & Relations (EL-COR),3,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67
1,CX Transformation Program Communication Skill Sales Agent,Commerce & Relations (EL-COR),9,91.35,91.35,92.63,91.35,92.63,91.35,92.63,92.63,91.35,91.35,91.35,92.63,91.88
1,CX Transformation Program Communication Skill Technician Assurance,Commerce & Relations (EL-COR),6,93.85,93.85,92.80,92.80,93.85,92.80,92.80,93.85,95.56,93.85,92.80,93.85,93.56
1,CX Transformation Program Communication Skill Technician Fulfillment,Commerce & Relations (EL-COR),5,92.38,94.55,92.38,92.38,94.55,94.55,91.25,94.55,94.55,94.55,94.55,94.55,93.73
1,Product Knowledge Minipack Indihome,Commerce & Relations (EL-COR),1,90.00,90.00,100.00,100.00,100.00,100.00,100.00,90.00,90.00,90.00,90.00,100.00,95
1,Spiritual (Islam) Bekerja Lillah,Commerce & Relations (EL-COR),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,Basic Customer Retention,Digital & ICT (EL-DIC),1,70.00,70.00,80.00,80.00,70.00,60.00,60.00,70.00,60.00,70.00,60.00,70.00,68.33
1,Big Data,Digital & ICT (EL-DIC),9,97.62,97.62,97.62,98.60,97.07,97.62,97.62,97.62,97.62,97.62,98.60,98.60,97.82
1,BLOCKCHAIN,Digital & ICT (EL-DIC),10,97.39,97.87,97.87,97.87,97.39,97.83,97.83,97.39,97.87,97.39,97.87,97.87,97.7
1,Business Continuity Management,Digital & ICT (EL-DIC),2,90.00,90.00,95.56,90.00,95.56,90.00,95.56,90.00,95.56,95.56,90.00,95.56,92.78
1,Cloud Computing,Digital & ICT (EL-DIC),10,96.96,96.96,97.45,96.96,96.96,96.96,96.96,96.96,96.96,96.96,96.96,97.45,97.04
1,Cloud Computing Fundamental,Digital & ICT (EL-DIC),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,Collection & Legal,Digital & ICT (EL-DIC),1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100
1,Customer Experience Transformation,Digital & ICT (EL-DIC),5,86.67,89.47,86.67,86.67,86.67,92.00,92.00,86.67,89.47,86.67,93.33,89.47,88.81
