Nama Pelatihan,Objid Pelatihan,Category,Tipe,Lokasi Pelatihan,Provider,Academy Event,Location,Provider Category,Event Type,Status,Tgl Mulai,Tgl Selesai,JML Peserta,JML Confirmed,JML Peserta Hadir,JML UBPP Inst,JML UBPP Delivery,UBPP Inst,UBPP Akom,UBPP Sarana,UBPP Laborat,UBPP Penyelenggaraan,UBPP Kafetaria,UBPP Materi,Net Promotor Score,Customer Satisfaction,First Response & Average Handling,Customer Effort Score
Social Media Ads & Analytic,80114181,LAT,,Bandung,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-12-16,2020-12-17,28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CISM,80114269,LAT,Virtual Classroom,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Public,On Going,2020-12-16,2020-12-18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Programmer Development Course Amoeba,80114271,LAT,E-learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-12-16,2021-01-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business Analytics Amoeba,80114280,LAT,Video Learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-12-16,2021-03-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Online UX Design Course Amoeba,80114281,LAT,E-learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-12-16,2021-03-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspek Hukum dalam Pengelolaan Korporasi,80114255,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Public,On Going,2020-12-15,2020-12-18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proposal Business AM Telkom Infra,80114266,LAT,Virtual Classroom,Bandung,Learning Area 4 Semarang,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-12-15,2020-12-16,6,6,6,1,0,74.29,0,0,0,0,0,0,0,0,0,0
Perform Using OKR Batch 2,80114270,LAT,Virtual Classroom,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-12-15,2020-12-15,16,11,11,5,5,74.86,0,90,0,86,0,87.5,80,86,88,86.8
Klarifikasi HCD Plan 2021,90004548,NON LAT,Regular Meeting / Discussion,Bandung,Learning Area 3 / LO Bandung,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-12-15,2020-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rapat Pembahasan HCD Plan DBS 2021,90004562,NON LAT,Regular Meeting / Discussion,Jakarta,Learning Area 3 / LO,ENTERPRISE,LA 2,External,Internal,WO,2020-12-15,2020-12-15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategic Business Analysis,80114326,LAT,Virtual Classroom,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,On Going,2020-12-15,2020-12-16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategic Planning Professional Level 1,80114096,LAT,,Bandung,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),,Internal,On Going,2020-12-14,2020-12-16,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
AWS Cert Solut Architect Assoc B4 2020,80114258,LAT,Virtual Classroom,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,On Going,2020-12-14,2020-12-18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OnBoarding Bootcamp DAB #16,80114262,LAT,Mentoring,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-12-14,2020-12-17,58,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0
Evaluasi GPTP Online,90004558,NON LAT,Project,Bandung,Learning Area 3 / LO Bandung,,LA-3,Internal,Internal,Draft,2020-12-14,2020-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
	Mentoring Leadership in Teritorry (week-6),90004514,NON LAT,Project,Bandung,Learning Area 3 / LO Bandung,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-12-11,2020-12-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Certified Blockchain Developer Amoeba,80114226,LAT,Video Learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-12-11,2020-12-28,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Interaction Design Amoeba,80114227,LAT,Video Learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-12-11,2020-12-28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Interaction Design User Research Amoeba,80114228,LAT,Video Learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-12-11,2020-12-28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Managing Jira Cloud Projects Amoeba,80114229,LAT,Video Learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-12-11,2020-12-28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Agile & Scrum Dev Project Amoeba,80114230,LAT,Video Learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-12-11,2020-12-28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Blockchain Enterprise Proff Amoeba,80114231,LAT,Video Learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-12-11,2021-01-08,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Product Management Amoeba,80114232,LAT,Video Learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-12-11,2021-04-08,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ToT Core Values AKHLAK,80114275,LAT,,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-12-11,2020-12-18,41,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Final Presentation ALP MDA Batch 2,80114276,LAT,Virtual Classroom,Bandung,Learning Area 4 Semarang,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-12-11,2020-12-11,22,21,21,4,4,76.07,0,87.5,0,88,0,88.75,50,87.5,87.5,89
Unlocking Success Digital Transform B2,80114302,LAT,,Bandung,Learning Area 5 Surabaya,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-12-11,2020-12-11,451,428,394,336,337,,0,87.83,0,88.6,0,88.16,62.17,88.7,88.94,88.01
CDCP(Certified Data Centre Professional),80114251,LAT,Virtual Classroom,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Public,On Going,2020-12-10,2020-12-14,6,6,6,5,5,90,84,90,0,91.2,86,88.5,80,88.4,92,88.4
Coaching Mastery,80114256,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Public,On Going,2020-12-10,2020-12-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk Based Auditing,80114282,LAT,,,,,Online (Lokasi Masing-Masing),,,,2020-12-10,2020-12-11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unlocking Success Digital Transform B1,80114301,LAT,,Bandung,Learning Area 5 Surabaya,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-12-10,2020-12-10,390,344,287,253,254,,0,90.2,0,91.1,0,90.43,73.56,91.06,91.17,90.31
Transforming from Relief to Recovery,80114323,LAT,,Bandung,Learning Area 3 / LO Bandung,CONSUMER,Online (Lokasi Masing-Masing),Internal,Public,On Going,2020-12-09,2020-12-10,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Center & Cloud Computing,80114200,LAT,Virtual Classroom,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Internal,Close Budget,2020-12-08,2020-12-11,37,36,36,36,36,74.97,0,85.28,0,88.26,0,87.57,69.44,87.2,90,87.15
Risk Beyond : Reimagine the Future,80114259,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Public,On Going,2020-12-08,2020-12-08,3,3,0,2,2,81.67,80,85,0,84.44,85,83.33,50,83.33,85,83.75
Mapping Content AM Pathway Digilearn,90004554,NON LAT,Pengembangan Materi,Jakarta,Learning Area 3 / LO,ENTERPRISE,LA 2,External,Internal,WO,2020-12-08,2020-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Testing Norma,90003682,NON LAT,,Jakarta,Learning Area 2 Jakarta,KMCS,LA 2,Internal,Internal,On Going,2020-12-08,2020-12-18,2,1,1,3,2,80,0,86.67,0,89.33,0,88.33,66.67,87.78,90,88.67
Mapping Content AM - Marketing,90004556,NON LAT,Pengembangan Materi,Jakarta,Learning Area 3 / LO,ENTERPRISE,LA 2,External,Internal,WO,2020-12-07,2020-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALP Marketing Data Analytics Batch 2,80114225,LAT,Virtual Classroom,Bandung,Learning Area 4 Semarang,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-12-07,2020-12-07,22,19,21,5,5,,0,86,0,84.4,0,85.5,20,85.33,88,84.4
Being Presence by being zero,80113672,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Public,On Going,2020-12-04,2020-12-04,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
